instruction,input_context,output,task_type,difficulty,safety_constraints
큰 metal 상자을 테이블에 올려놓아라,"객체: 큰 metal 상자, 목적지: 테이블, 환경: 실내","{""control_parameters"": {""grip_force"": 0.5, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""metal"", ""mass"": ""medium"", ""friction"": 0.8320465208148218, ""stiffness"": 0.00923213526203572, ""fragility"": 0.03920394366126141}, ""confidence"": 0.8469735781146753}",place,medium,precise_positioning
깨지기쉬운 fabric 펜을 의자에 가져와라,"객체: 깨지기쉬운 fabric 펜, 목적지: 의자, 환경: 실내","{""control_parameters"": {""grip_force"": 0.7, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 1.0}, ""physical_properties"": {""material"": ""fabric"", ""mass"": ""medium"", ""friction"": 0.17828564226926413, ""stiffness"": 37.4481011073976, ""fragility"": ""fragile""}, ""confidence"": 0.791766693436877}",pull,hard,secure_grip|slow_movement
거친 fabric 책을 테이블에 놓아라,"객체: 거친 fabric 책, 목적지: 테이블, 환경: 실내","{""control_parameters"": {""grip_force"": 0.45, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""fabric"", ""mass"": ""medium"", ""friction"": ""high"", ""stiffness"": 232.56807083066403, ""fragility"": 0.11341096408882918}, ""confidence"": 0.7879054777892547}",place,medium,precise_positioning
딱딱한 glass 블록을 상자에 끌어라,"객체: 딱딱한 glass 블록, 목적지: 상자, 환경: 실내","{""control_parameters"": {""grip_force"": 0.5, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.36, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""glass"", ""mass"": ""medium"", ""friction"": 0.6408227958858516, ""stiffness"": ""hard"", ""fragility"": 0.07361582965399906}, ""confidence"": 0.7790060923215693}",pull,medium,
무거운 glass 상자을 의자에 가져다놓아라,"객체: 무거운 glass 상자, 목적지: 의자, 환경: 실내","{""control_parameters"": {""grip_force"": 0.75, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""glass"", ""mass"": ""heavy"", ""friction"": 0.7856499856844089, ""stiffness"": 0.1190430200514032, ""fragility"": 0.14731062905204093}, ""confidence"": 0.8465269936766305}",move,easy,
거친 plastic 블록을 테이블에 배치해라,"객체: 거친 plastic 블록, 목적지: 테이블, 환경: 실내","{""control_parameters"": {""grip_force"": 0.45, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""plastic"", ""mass"": ""medium"", ""friction"": ""high"", ""stiffness"": 11.766811031990372, ""fragility"": 0.1300153698490466}, ""confidence"": 0.7736028007512985}",place,medium,precise_positioning
딱딱한 metal 접시을 선반에 잡아라,"객체: 딱딱한 metal 접시, 목적지: 선반, 환경: 실내","{""control_parameters"": {""grip_force"": 0.5, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.36, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""metal"", ""mass"": ""medium"", ""friction"": 0.8023199184682938, ""stiffness"": ""hard"", ""fragility"": 0.11836509288405694}, ""confidence"": 0.7933182905826318}",pick,easy,
무거운 wood 접시을 선반에 이동시켜라,"객체: 무거운 wood 접시, 목적지: 선반, 환경: 실내","{""control_parameters"": {""grip_force"": 0.73, ""lift_speed"": 0.3, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 1.0}, ""physical_properties"": {""material"": ""wood"", ""mass"": ""heavy"", ""friction"": 0.16598181588923408, ""stiffness"": 96.74509194720713, ""fragility"": 1.0}, ""confidence"": 0.9175940995454899}",move,hard,fragile_handling|gentle_grip|secure_grip|slow_movement
미끄러운 metal 인형을 의자에 들어라,"객체: 미끄러운 metal 인형, 목적지: 의자, 환경: 실내","{""control_parameters"": {""grip_force"": 0.9, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""metal"", ""mass"": ""medium"", ""friction"": ""low"", ""stiffness"": 203.50223109509074, ""fragility"": 0.12787611619246367}, ""confidence"": 0.7635253665307655}",pick,easy,
미끄러운 plastic 컵을 바구니에 당겨라,"객체: 미끄러운 plastic 컵, 목적지: 바구니, 환경: 실내","{""control_parameters"": {""grip_force"": 0.9, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""plastic"", ""mass"": ""medium"", ""friction"": ""low"", ""stiffness"": 4.2305139309557624, ""fragility"": 0.44994449854952756}, ""confidence"": 0.8808354645597132}",pull,hard,
딱딱한 rubber 그릇을 바구니에 가져다놓아라,"객체: 딱딱한 rubber 그릇, 목적지: 바구니, 환경: 실내","{""control_parameters"": {""grip_force"": 0.5, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.36, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""rubber"", ""mass"": ""medium"", ""friction"": 0.5767086244956243, ""stiffness"": ""hard"", ""fragility"": 0.222609010173347}, ""confidence"": 0.8982781467346661}",move,easy,
무거운 metal 그릇을 바구니에 이동시켜라,"객체: 무거운 metal 그릇, 목적지: 바구니, 환경: 실내","{""control_parameters"": {""grip_force"": 0.52, ""lift_speed"": 0.3, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 1.0}, ""physical_properties"": {""material"": ""metal"", ""mass"": ""heavy"", ""friction"": 0.3244401204932499, ""stiffness"": 141.44192021165782, ""fragility"": 1.0}, ""confidence"": 0.712347179394349}",move,medium,fragile_handling|gentle_grip
작은 plastic 인형을 침대에 배치해라,"객체: 작은 plastic 인형, 목적지: 침대, 환경: 실내","{""control_parameters"": {""grip_force"": 0.5, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""plastic"", ""mass"": ""medium"", ""friction"": 0.7031154905818919, ""stiffness"": 0.06458740734072647, ""fragility"": 0.06497487284297923}, ""confidence"": 0.7006204040218347}",place,medium,precise_positioning
거친 fabric 블록을 상자에 두어라,"객체: 거친 fabric 블록, 목적지: 상자, 환경: 실내","{""control_parameters"": {""grip_force"": 0.45, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""fabric"", ""mass"": ""medium"", ""friction"": ""high"", ""stiffness"": 3.036444408446131, ""fragility"": 0.4140528862657549}, ""confidence"": 0.8678727262702428}",place,medium,precise_positioning
큰 fabric 그릇을 의자에 운반해라,"객체: 큰 fabric 그릇, 목적지: 의자, 환경: 실내","{""control_parameters"": {""grip_force"": 0.5, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""fabric"", ""mass"": ""medium"", ""friction"": 0.40360083381939943, ""stiffness"": 8.78610858234744, ""fragility"": 0.2674620314040698}, ""confidence"": 0.837085414337328}",move,easy,
작은 metal 펜을 의자에 당겨라,"객체: 작은 metal 펜, 목적지: 의자, 환경: 실내","{""control_parameters"": {""grip_force"": 0.5, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""metal"", ""mass"": ""medium"", ""friction"": 0.8075858772754881, ""stiffness"": 0.11973332812231308, ""fragility"": 0.0789949432785731}, ""confidence"": 0.7621454143111044}",pull,medium,
작은 wood 접시을 테이블에 밀어라,"객체: 작은 wood 접시, 목적지: 테이블, 환경: 실내","{""control_parameters"": {""grip_force"": 0.5, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""wood"", ""mass"": ""medium"", ""friction"": 0.3934504727733239, ""stiffness"": 3.432161100978571, ""fragility"": 0.1929109463480399}, ""confidence"": 0.832274790496738}",push,medium,
거친 metal 책을 테이블에 전진시켜라,"객체: 거친 metal 책, 목적지: 테이블, 환경: 실내","{""control_parameters"": {""grip_force"": 0.45, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""metal"", ""mass"": ""medium"", ""friction"": ""high"", ""stiffness"": 3.5535191860446473, ""fragility"": 0.4243435264775188}, ""confidence"": 0.918623816158485}",push,medium,
작은 fabric 펜을 의자에 옮겨라,"객체: 작은 fabric 펜, 목적지: 의자, 환경: 실내","{""control_parameters"": {""grip_force"": 0.35, ""lift_speed"": 0.3, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 1.0}, ""physical_properties"": {""material"": ""fabric"", ""mass"": ""medium"", ""friction"": 0.3319766892326897, ""stiffness"": 83.22492524470026, ""fragility"": 1.0}, ""confidence"": 0.8942836360362174}",move,medium,fragile_handling|gentle_grip
깨지기쉬운 fabric 공을 침대에 이동시켜라,"객체: 깨지기쉬운 fabric 공, 목적지: 침대, 환경: 실내","{""control_parameters"": {""grip_force"": 0.5, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 1.0}, ""physical_properties"": {""material"": ""fabric"", ""mass"": ""medium"", ""friction"": 0.32749125710801746, ""stiffness"": 2.438507925034616, ""fragility"": ""fragile""}, ""confidence"": 0.810129916897586}",move,easy,
미끄러운 glass 병을 의자에 옮겨라,"객체: 미끄러운 glass 병, 목적지: 의자, 환경: 실내","{""control_parameters"": {""grip_force"": 0.9, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""glass"", ""mass"": ""medium"", ""friction"": ""low"", ""stiffness"": 232.56807083066403, ""fragility"": 0.11341096408882918}, ""confidence"": 0.7165661880817562}",move,easy,
미끄러운 plastic 책을 침대에 집어라,"객체: 미끄러운 plastic 책, 목적지: 침대, 환경: 실내","{""control_parameters"": {""grip_force"": 0.63, ""lift_speed"": 0.3, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 1.0}, ""physical_properties"": {""material"": ""plastic"", ""mass"": ""medium"", ""friction"": ""low"", ""stiffness"": 48.607375212683, ""fragility"": 0.9891938558271519}, ""confidence"": 0.7166274867480185}",pick,medium,fragile_handling|gentle_grip
미끄러운 metal 책을 테이블에 밀어내라,"객체: 미끄러운 metal 책, 목적지: 테이블, 환경: 실내","{""control_parameters"": {""grip_force"": 0.9, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""metal"", ""mass"": ""medium"", ""friction"": ""low"", ""stiffness"": 0.013953185610282675, ""fragility"": 0.02534513953993007}, ""confidence"": 0.9002012110450942}",push,medium,
큰 plastic 공을 테이블에 이동시켜라,"객체: 큰 plastic 공, 목적지: 테이블, 환경: 실내","{""control_parameters"": {""grip_force"": 0.5, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""plastic"", ""mass"": ""medium"", ""friction"": 0.41770271547026494, ""stiffness"": 10.55955995144916, ""fragility"": 0.14823769377556842}, ""confidence"": 0.8167909033328816}",move,easy,
작은 metal 펜을 선반에 운반해라,"객체: 작은 metal 펜, 목적지: 선반, 환경: 실내","{""control_parameters"": {""grip_force"": 0.5, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""metal"", ""mass"": ""medium"", ""friction"": 0.5767086244956243, ""stiffness"": 15.244152947242119, ""fragility"": 0.222609010173347}, ""confidence"": 0.7953729529669987}",move,easy,
거친 metal 책을 의자에 집어라,"객체: 거친 metal 책, 목적지: 의자, 환경: 실내","{""control_parameters"": {""grip_force"": 0.45, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""metal"", ""mass"": ""medium"", ""friction"": ""high"", ""stiffness"": 15.244152947242119, ""fragility"": 0.222609010173347}, ""confidence"": 0.9034385331681156}",pick,easy,
깨지기쉬운 fabric 접시을 의자에 가져다놓아라,"객체: 깨지기쉬운 fabric 접시, 목적지: 의자, 환경: 실내","{""control_parameters"": {""grip_force"": 0.5, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 1.0}, ""physical_properties"": {""material"": ""fabric"", ""mass"": ""medium"", ""friction"": 0.3013558157350027, ""stiffness"": 142.26176967212382, ""fragility"": ""fragile""}, ""confidence"": 0.7654147417964182}",move,easy,
부드러운 fabric 블록을 테이블에 두어라,"객체: 부드러운 fabric 블록, 목적지: 테이블, 환경: 실내","{""control_parameters"": {""grip_force"": 0.5, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.24, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""fabric"", ""mass"": ""medium"", ""friction"": 0.6233780589590608, ""stiffness"": ""soft"", ""fragility"": 0.06274277112893555}, ""confidence"": 0.936690502109319}",place,medium,precise_positioning
딱딱한 rubber 그릇을 선반에 가져가라,"객체: 딱딱한 rubber 그릇, 목적지: 선반, 환경: 실내","{""control_parameters"": {""grip_force"": 0.5, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.36, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""rubber"", ""mass"": ""medium"", ""friction"": 0.3440596256975097, ""stiffness"": ""hard"", ""fragility"": 0.4243435264775188}, ""confidence"": 0.724706273303091}",pick,medium,
딱딱한 metal 접시을 상자에 끌어라,"객체: 딱딱한 metal 접시, 목적지: 상자, 환경: 실내","{""control_parameters"": {""grip_force"": 0.5, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.36, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""metal"", ""mass"": ""medium"", ""friction"": 0.5962728221434361, ""stiffness"": ""hard"", ""fragility"": 0.16305166337863272}, ""confidence"": 0.7989023090510387}",pull,medium,
무거운 metal 상자을 바구니에 밀어라,"객체: 무거운 metal 상자, 목적지: 바구니, 환경: 실내","{""control_parameters"": {""grip_force"": 0.75, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""metal"", ""mass"": ""heavy"", ""friction"": 0.4892193812833428, ""stiffness"": 13.283663998521762, ""fragility"": 0.2886102580094964}, ""confidence"": 0.7736869757892377}",push,medium,
깨지기쉬운 fabric 접시을 상자에 두어라,"객체: 깨지기쉬운 fabric 접시, 목적지: 상자, 환경: 실내","{""control_parameters"": {""grip_force"": 0.5, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 1.0}, ""physical_properties"": {""material"": ""fabric"", ""mass"": ""medium"", ""friction"": 0.8942580972876684, ""stiffness"": 0.007510604098465331, ""fragility"": ""fragile""}, ""confidence"": 0.9262785572767848}",place,medium,precise_positioning
부드러운 ceramic 인형을 바구니에 가져가라,"객체: 부드러운 ceramic 인형, 목적지: 바구니, 환경: 실내","{""control_parameters"": {""grip_force"": 0.5, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.24, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""ceramic"", ""mass"": ""medium"", ""friction"": 0.3063656375286698, ""stiffness"": ""soft"", ""fragility"": 0.4929608592069425}, ""confidence"": 0.7785949596335393}",pick,medium,
무거운 ceramic 블록을 침대에 이동시켜라,"객체: 무거운 ceramic 블록, 목적지: 침대, 환경: 실내","{""control_parameters"": {""grip_force"": 0.73, ""lift_speed"": 0.3, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 1.0}, ""physical_properties"": {""material"": ""ceramic"", ""mass"": ""heavy"", ""friction"": 0.29091057525741726, ""stiffness"": 136.12263880808456, ""fragility"": 1.0}, ""confidence"": 0.7112611842105276}",move,hard,fragile_handling|gentle_grip|secure_grip|slow_movement
거친 wood 펜을 상자에 두어라,"객체: 거친 wood 펜, 목적지: 상자, 환경: 실내","{""control_parameters"": {""grip_force"": 0.32, ""lift_speed"": 0.3, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 1.0}, ""physical_properties"": {""material"": ""wood"", ""mass"": ""medium"", ""friction"": ""high"", ""stiffness"": 48.607375212683, ""fragility"": 0.9891938558271519}, ""confidence"": 0.861862985589223}",place,hard,fragile_handling|gentle_grip|precise_positioning
무거운 glass 컵을 침대에 배치해라,"객체: 무거운 glass 컵, 목적지: 침대, 환경: 실내","{""control_parameters"": {""grip_force"": 0.75, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""glass"", ""mass"": ""heavy"", ""friction"": 0.9504772442185792, ""stiffness"": 0.014324802653995114, ""fragility"": 0.05244069121285053}, ""confidence"": 0.8761576407718579}",place,medium,precise_positioning
가벼운 fabric 인형을 의자에 배치해라,"객체: 가벼운 fabric 인형, 목적지: 의자, 환경: 실내","{""control_parameters"": {""grip_force"": 0.35, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""fabric"", ""mass"": ""light"", ""friction"": 0.6975739814632087, ""stiffness"": 0.00922883666667986, ""fragility"": 0.05163622845398025}, ""confidence"": 0.7602061448073867}",place,medium,precise_positioning
가벼운 plastic 책을 상자에 당겨라,"객체: 가벼운 plastic 책, 목적지: 상자, 환경: 실내","{""control_parameters"": {""grip_force"": 0.35, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""plastic"", ""mass"": ""light"", ""friction"": 0.8077136590268336, ""stiffness"": 0.008962267935161833, ""fragility"": 0.06253236345785054}, ""confidence"": 0.9180659035402378}",pull,medium,
거친 glass 상자을 테이블에 옮겨라,"객체: 거친 glass 상자, 목적지: 테이블, 환경: 실내","{""control_parameters"": {""grip_force"": 0.45, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""glass"", ""mass"": ""medium"", ""friction"": ""high"", ""stiffness"": 0.11803945923093706, ""fragility"": 0.1268771715937986}, ""confidence"": 0.7134749546395034}",move,easy,
딱딱한 fabric 공을 바구니에 옮겨라,"객체: 딱딱한 fabric 공, 목적지: 바구니, 환경: 실내","{""control_parameters"": {""grip_force"": 0.5, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.36, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""fabric"", ""mass"": ""medium"", ""friction"": 0.566675179414612, ""stiffness"": ""hard"", ""fragility"": 0.1406414772439137}, ""confidence"": 0.9488229943773319}",move,easy,
미끄러운 metal 책을 의자에 운반해라,"객체: 미끄러운 metal 책, 목적지: 의자, 환경: 실내","{""control_parameters"": {""grip_force"": 0.9, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""metal"", ""mass"": ""medium"", ""friction"": ""low"", ""stiffness"": 0.010647693268284707, ""fragility"": 0.054247410007464004}, ""confidence"": 0.923788092392979}",move,easy,
가벼운 plastic 상자을 바구니에 이동시켜라,"객체: 가벼운 plastic 상자, 목적지: 바구니, 환경: 실내","{""control_parameters"": {""grip_force"": 0.35, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""plastic"", ""mass"": ""light"", ""friction"": 0.9504772442185792, ""stiffness"": 0.014324802653995114, ""fragility"": 0.05244069121285053}, ""confidence"": 0.948170257726931}",move,easy,
딱딱한 metal 접시을 상자에 배치해라,"객체: 딱딱한 metal 접시, 목적지: 상자, 환경: 실내","{""control_parameters"": {""grip_force"": 0.49, ""lift_speed"": 0.3, ""approach_angle"": 0.1, ""contact_force"": 0.36, ""safety_margin"": 1.0}, ""physical_properties"": {""material"": ""metal"", ""mass"": ""medium"", ""friction"": 0.17951921529060288, ""stiffness"": ""hard"", ""fragility"": 0.9380061769602804}, ""confidence"": 0.8896735505514561}",place,hard,fragile_handling|gentle_grip|secure_grip|slow_movement|precise_positioning
가벼운 metal 인형을 바구니에 가져가라,"객체: 가벼운 metal 인형, 목적지: 바구니, 환경: 실내","{""control_parameters"": {""grip_force"": 0.35, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""metal"", ""mass"": ""light"", ""friction"": 0.6975739814632087, ""stiffness"": 0.00922883666667986, ""fragility"": 0.05163622845398025}, ""confidence"": 0.7379825620210634}",pick,easy,
무거운 rubber 펜을 침대에 전진시켜라,"객체: 무거운 rubber 펜, 목적지: 침대, 환경: 실내","{""control_parameters"": {""grip_force"": 0.52, ""lift_speed"": 0.3, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 1.0}, ""physical_properties"": {""material"": ""rubber"", ""mass"": ""heavy"", ""friction"": 0.3581234092106792, ""stiffness"": 80.4097830255406, ""fragility"": 1.0}, ""confidence"": 0.7822274809256915}",push,hard,fragile_handling|gentle_grip
딱딱한 rubber 펜을 바구니에 가져와라,"객체: 딱딱한 rubber 펜, 목적지: 바구니, 환경: 실내","{""control_parameters"": {""grip_force"": 0.5, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.36, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""rubber"", ""mass"": ""medium"", ""friction"": 0.6408227958858516, ""stiffness"": ""hard"", ""fragility"": 0.07361582965399906}, ""confidence"": 0.7929977453562145}",pull,medium,
부드러운 rubber 책을 테이블에 밀어내라,"객체: 부드러운 rubber 책, 목적지: 테이블, 환경: 실내","{""control_parameters"": {""grip_force"": 0.5, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.24, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""rubber"", ""mass"": ""medium"", ""friction"": 0.5444449363657164, ""stiffness"": ""soft"", ""fragility"": 0.14904954215801988}, ""confidence"": 0.7629179834169451}",push,medium,
미끄러운 glass 책을 침대에 운반해라,"객체: 미끄러운 glass 책, 목적지: 침대, 환경: 실내","{""control_parameters"": {""grip_force"": 0.63, ""lift_speed"": 0.3, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 1.0}, ""physical_properties"": {""material"": ""glass"", ""mass"": ""medium"", ""friction"": ""low"", ""stiffness"": 83.22492524470026, ""fragility"": 1.0}, ""confidence"": 0.8031747645294504}",move,medium,fragile_handling|gentle_grip
작은 ceramic 인형을 의자에 가져가라,"객체: 작은 ceramic 인형, 목적지: 의자, 환경: 실내","{""control_parameters"": {""grip_force"": 0.49, ""lift_speed"": 0.3, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 1.0}, ""physical_properties"": {""material"": ""ceramic"", ""mass"": ""medium"", ""friction"": 0.20870207386093773, ""stiffness"": 54.39490712141878, ""fragility"": 0.6552889956423802}, ""confidence"": 0.90771906358227}",pick,medium,fragile_handling|gentle_grip|secure_grip|slow_movement
미끄러운 metal 책을 의자에 당겨라,"객체: 미끄러운 metal 책, 목적지: 의자, 환경: 실내","{""control_parameters"": {""grip_force"": 0.63, ""lift_speed"": 0.3, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 1.0}, ""physical_properties"": {""material"": ""metal"", ""mass"": ""medium"", ""friction"": ""low"", ""stiffness"": 125.87960874634389, ""fragility"": 0.9543121379937294}, ""confidence"": 0.8429553932263517}",pull,hard,fragile_handling|gentle_grip
큰 wood 공을 테이블에 이동시켜라,"객체: 큰 wood 공, 목적지: 테이블, 환경: 실내","{""control_parameters"": {""grip_force"": 0.5, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""wood"", ""mass"": ""medium"", ""friction"": 0.6975739814632087, ""stiffness"": 0.00922883666667986, ""fragility"": 0.05163622845398025}, ""confidence"": 0.7114559837214516}",move,easy,
무거운 glass 컵을 선반에 끌어라,"객체: 무거운 glass 컵, 목적지: 선반, 환경: 실내","{""control_parameters"": {""grip_force"": 0.75, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""glass"", ""mass"": ""heavy"", ""friction"": 0.8320465208148218, ""stiffness"": 0.00923213526203572, ""fragility"": 0.03920394366126141}, ""confidence"": 0.8250383007958585}",pull,medium,
깨지기쉬운 metal 공을 의자에 전진시켜라,"객체: 깨지기쉬운 metal 공, 목적지: 의자, 환경: 실내","{""control_parameters"": {""grip_force"": 0.5, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 1.0}, ""physical_properties"": {""material"": ""metal"", ""mass"": ""medium"", ""friction"": 0.7856499856844089, ""stiffness"": 0.1190430200514032, ""fragility"": ""fragile""}, ""confidence"": 0.7274849513402275}",push,medium,
거친 rubber 컵을 바구니에 밀어내라,"객체: 거친 rubber 컵, 목적지: 바구니, 환경: 실내","{""control_parameters"": {""grip_force"": 0.45, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""rubber"", ""mass"": ""medium"", ""friction"": ""high"", ""stiffness"": 13.904544149456957, ""fragility"": 0.18659898144197717}, ""confidence"": 0.7937989885702218}",push,medium,
가벼운 wood 인형을 테이블에 가져다놓아라,"객체: 가벼운 wood 인형, 목적지: 테이블, 환경: 실내","{""control_parameters"": {""grip_force"": 0.35, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""wood"", ""mass"": ""light"", ""friction"": 0.5977901642546223, ""stiffness"": 11.766811031990372, ""fragility"": 0.1300153698490466}, ""confidence"": 0.7459530834182297}",move,easy,
딱딱한 metal 접시을 선반에 가져가라,"객체: 딱딱한 metal 접시, 목적지: 선반, 환경: 실내","{""control_parameters"": {""grip_force"": 0.49, ""lift_speed"": 0.3, ""approach_angle"": 0.1, ""contact_force"": 0.36, ""safety_margin"": 1.0}, ""physical_properties"": {""material"": ""metal"", ""mass"": ""medium"", ""friction"": 0.29091057525741726, ""stiffness"": ""hard"", ""fragility"": 1.0}, ""confidence"": 0.9265267338190746}",pick,hard,fragile_handling|gentle_grip|secure_grip|slow_movement
부드러운 ceramic 인형을 바구니에 밀어라,"객체: 부드러운 ceramic 인형, 목적지: 바구니, 환경: 실내","{""control_parameters"": {""grip_force"": 0.35, ""lift_speed"": 0.3, ""approach_angle"": 0.1, ""contact_force"": 0.24, ""safety_margin"": 1.0}, ""physical_properties"": {""material"": ""ceramic"", ""mass"": ""medium"", ""friction"": 0.3013558157350027, ""stiffness"": ""soft"", ""fragility"": 1.0}, ""confidence"": 0.8635314563354602}",push,hard,fragile_handling|gentle_grip
